TestSuite,TestCaseID,RunFlag,Description,InterfaceType,UriPath,ContentType,Method,Option,RequestHeaders,TemplateFile,RequestBody,OutputParams,RespCodeExp,ExpectedResponse,PartialExpectedResponse,NotExpectedResponse,TcComments
TsCompany,getToken,Y,Retrieve a token from Token Generator,RESTfulAPI,/api/people/login,application/json,POST,,,,"{
""username"": ""<@username>"",
""password"": ""<@password>""
}","login.id:<$accessToken>,
login.userId:<$userId>",200,,,,
TsCompany,getCompanies,Y,get company,RESTfulAPI,/api/companies,application/json,GET,token:<@accessToken>,,,,"id:<$companyIds>,
name:<$companyNames>",200,,,,
TsCompany,createCompany,Y,create company,RESTfulAPI,/api/companies,application/json,POST,token:<@accessToken>,,,"{
""name"":""<@companyName>"",
""email"":""<@companyEmail>"",
""taxNumber"":""<@taxNumber>"",
""type"":""<@companyType>"",
""currency"":""<@companyCurrency>"",
""description"":""<@companyDescription>"",
""productSpreadReduction"":""20""
}",id:<$companyId>,200,,,,
TsCompany,findCompany,Y,find company by company name,RESTfulAPI,/api/companies/findOne,application/json,GET,token:<@accessToken>,,,"{
""name"":""<@companyName>""
}",id:<$companyId>,200,,,,
TsCompany,deleteCompany,Y,delete company,RESTfulAPI,/api/companies/<@companyId>,application/json,DELETE,token:<@accessToken>,,,,,200,,,,
,,,,,,,,,,,,,,,,,
TsCompany,getUsers,Y,get user,RESTfulAPI,/api/people,application/json,GET,token:<@accessToken>,,,,"id:<$peopleIds>,
firstName:<$peopleNames>",200,,,,
TsCompany,createUser,Y,create user,RESTfulAPI,/api/people,application/json,POST,token:<@accessToken>,,,"{
""firstName"":""<@personFirstName>"",
""lastName"":""<@personLastName>"",
""roleName"":""<@personRoleName>"",
""username"":""<@personUsername>"",
""email"":""<@personEmail>"",
""password"":""<@personPassword>"",
""companyId"":""<@companyId>""
}",id:<$personId>,200,,,,
TsCompany,findUser,Y,find user by username,RESTfulAPI,/api/people/findOne,application/json,GET,token:<@accessToken>,,,"{
""username"":""<@personUsername>""
}",id:<$personId>,200,,,,
TsCompany,deleteUser,Y,delete user,RESTfulAPI,/api/people/<@personId>,application/json,DELETE,token:<@accessToken>,,,,,200,,,,
,,,,,,,,,,,,,,,,,
TsCompany,getSites,Y,get sites,RESTfulAPI,/api/sites,application/json,GET,token:<@accessToken>,,,,"id:<$siteIds>,
name:<$siteNames>",200,,,,
TsCompany,createSite,Y,create site,RESTfulAPI,/api/sites,application/json,POST,token:<@accessToken>,,,"{
""name"":""<@siteName>"",
""companyId"":""<@companyId>""
}",id:<$siteId>,200,,,,
TsCompany,findSite,Y,find site by username,RESTfulAPI,/api/sites/findOne,application/json,GET,token:<@accessToken>,,,"{
""name"":""<@siteName>""
}",id:<$siteId>,200,,,,
TsCompany,deleteSite,Y,delete site,RESTfulAPI,/api/sites/<@siteId>,application/json,DELETE,token:<@accessToken>,,,,,200,,,,
